epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,128.276,0.4413,0.30563,1.04618,0.97915,0.99789,0.995,0.93157,0.31254,0.29642,0.91883,0.00134684,0.00134684,0.00134684
99,129.565,0.44533,0.31655,1.05939,0.97062,0.99565,0.995,0.89919,0.4053,0.31276,1.0055,0.00134354,0.00134354,0.00134354
100,130.86,0.45035,0.31731,1.06551,0.99574,1,0.995,0.95245,0.30546,0.21965,0.91544,0.00134023,0.00134023,0.00134023
101,132.153,0.43156,0.31863,1.05836,0.99453,1,0.995,0.95089,0.33778,0.21145,0.94213,0.00133693,0.00133693,0.00133693
102,133.448,0.48472,0.32791,1.09527,0.99551,1,0.995,0.93006,0.42217,0.24026,1.08698,0.00133363,0.00133363,0.00133363
103,134.748,0.4863,0.33469,1.10601,0.99359,1,0.995,0.93651,0.35118,0.24434,0.96401,0.00133033,0.00133033,0.00133033
104,136.042,0.4423,0.30711,1.0625,0.98739,1,0.995,0.971,0.29257,0.22625,0.91019,0.00132703,0.00132703,0.00132703
105,137.325,0.49988,0.35896,1.12754,0.9522,0.96856,0.995,0.97489,0.28817,0.28772,0.89995,0.00132373,0.00132373,0.00132373
106,138.618,0.46252,0.33368,1.076,0.91666,0.93679,0.98231,0.97573,0.26015,0.34476,0.88119,0.00132043,0.00132043,0.00132043
107,139.913,0.44431,0.30762,1.08768,0.90757,0.93431,0.99192,0.99192,0.24741,0.35921,0.86811,0.00131713,0.00131713,0.00131713
108,141.217,0.41721,0.30617,1.02773,0.97402,1,0.995,0.9814,0.24375,0.24747,0.86459,0.00131383,0.00131383,0.00131383
109,142.515,0.41158,0.30095,1.03433,0.99388,1,0.995,0.98818,0.23935,0.19393,0.87132,0.00131053,0.00131053,0.00131053
110,143.814,0.40422,0.2983,1.04339,0.99046,1,0.995,0.97252,0.2718,0.22921,0.88128,0.00130723,0.00130723,0.00130723
111,145.105,0.41953,0.30674,1.06757,0.99055,1,0.995,0.98229,0.29,0.22072,0.89395,0.00130393,0.00130393,0.00130393
112,146.398,0.39283,0.29546,1.02861,0.99619,1,0.995,0.98912,0.25722,0.21095,0.87912,0.00130063,0.00130063,0.00130063
113,147.683,0.44366,0.3243,1.07665,0.99592,1,0.995,0.96237,0.30002,0.22174,0.90605,0.00129733,0.00129733,0.00129733
114,148.985,0.43488,0.32155,1.07394,0.99532,1,0.995,0.97526,0.3126,0.2151,0.92089,0.00129403,0.00129403,0.00129403
115,150.274,0.41637,0.29751,1.05918,0.98774,0.99957,0.995,0.95506,0.30504,0.24391,0.91393,0.00129072,0.00129072,0.00129072
116,151.566,0.44123,0.3092,1.06777,0.95889,0.99452,0.98875,0.95548,0.34637,0.31871,0.94669,0.00128742,0.00128742,0.00128742
117,152.857,0.42533,0.31871,1.06784,0.98543,0.9993,0.995,0.97425,0.29907,0.27669,0.89564,0.00128412,0.00128412,0.00128412
118,154.159,0.42968,0.30494,1.05195,0.99517,1,0.995,0.9645,0.30204,0.2226,0.90188,0.00128082,0.00128082,0.00128082
119,155.463,0.46796,0.32908,1.10361,0.98286,0.99789,0.995,0.92585,0.35818,0.26797,0.98643,0.00127752,0.00127752,0.00127752
120,156.753,0.43246,0.29637,1.0639,0.98794,1,0.995,0.93348,0.37696,0.27149,1.01378,0.00127422,0.00127422,0.00127422
121,158.043,0.45391,0.30448,1.07865,0.9873,1,0.995,0.95513,0.30098,0.23287,0.92792,0.00127092,0.00127092,0.00127092
122,159.347,0.47231,0.33075,1.0853,0.99291,1,0.995,0.97076,0.27082,0.20366,0.90966,0.00126762,0.00126762,0.00126762
123,160.644,0.38947,0.28227,1.02279,0.99477,1,0.995,0.98394,0.2391,0.19994,0.87851,0.00126432,0.00126432,0.00126432
124,161.939,0.40214,0.28152,1.0282,0.98924,1,0.995,0.98291,0.26041,0.21058,0.87658,0.00126102,0.00126102,0.00126102
125,163.232,0.39463,0.29056,1.00909,0.98871,1,0.995,0.98763,0.24001,0.2012,0.85816,0.00125772,0.00125772,0.00125772
126,164.526,0.40337,0.29164,1.02569,0.98724,1,0.995,0.97768,0.28624,0.19786,0.89468,0.00125442,0.00125442,0.00125442
127,165.833,0.39226,0.27014,1.0273,0.99261,1,0.995,0.95888,0.31279,0.21326,0.90552,0.00125112,0.00125112,0.00125112
128,167.129,0.4201,0.2864,1.03622,0.9946,1,0.995,0.986,0.25471,0.20133,0.86451,0.00124782,0.00124782,0.00124782
129,168.425,0.42141,0.28573,1.06419,0.99464,1,0.995,0.97944,0.27681,0.20498,0.88263,0.00124452,0.00124452,0.00124452
130,169.723,0.41312,0.28316,1.0454,0.99615,1,0.995,0.97317,0.25354,0.18938,0.87086,0.00124121,0.00124121,0.00124121
131,171.017,0.42738,0.30354,1.03651,0.99414,1,0.995,0.94985,0.33894,0.21307,0.94407,0.00123791,0.00123791,0.00123791
132,172.313,0.41324,0.2867,1.05954,0.99328,1,0.995,0.97696,0.29497,0.21366,0.90058,0.00123461,0.00123461,0.00123461
133,173.596,0.40693,0.28132,1.05524,0.99397,1,0.995,0.97987,0.27986,0.20628,0.88799,0.00123131,0.00123131,0.00123131
134,174.894,0.40621,0.28222,1.06067,0.99491,1,0.995,0.98653,0.25273,0.19409,0.86255,0.00122801,0.00122801,0.00122801
135,176.192,0.3769,0.26803,1.0382,0.92825,1,0.98538,0.98305,0.25101,0.28756,0.86481,0.00122471,0.00122471,0.00122471
136,177.489,0.40842,0.29198,1.04312,0.99502,1,0.995,0.98807,0.22593,0.18876,0.84009,0.00122141,0.00122141,0.00122141
137,178.772,0.37562,0.26804,1.02463,0.99425,1,0.995,0.95555,0.29073,0.20499,0.88983,0.00121811,0.00121811,0.00121811
138,180.081,0.38215,0.27399,1.00658,0.97547,0.96667,0.99313,0.97133,0.27211,0.238,0.87976,0.00121481,0.00121481,0.00121481
139,181.376,0.4033,0.27582,1.04933,0.99057,1,0.995,0.98772,0.23562,0.21386,0.85297,0.00121151,0.00121151,0.00121151
140,182.675,0.39939,0.27634,1.02147,0.99261,1,0.995,0.98792,0.2381,0.19954,0.85136,0.00120821,0.00120821,0.00120821
141,183.966,0.36566,0.26443,1.01838,0.99253,0.95833,0.99192,0.96647,0.27072,0.20675,0.87472,0.00120491,0.00120491,0.00120491
142,185.268,0.36927,0.27115,0.99954,0.99262,1,0.995,0.9797,0.26853,0.21783,0.87759,0.00120161,0.00120161,0.00120161
143,186.559,0.36947,0.27326,1.01371,0.99548,1,0.995,0.98235,0.2876,0.2195,0.89634,0.00119831,0.00119831,0.00119831
144,187.852,0.35491,0.24909,0.999,0.99503,1,0.995,0.98437,0.25512,0.20065,0.86973,0.00119501,0.00119501,0.00119501
145,189.138,0.38968,0.27476,1.04644,0.98286,1,0.995,0.98002,0.28662,0.23498,0.89146,0.0011917,0.0011917,0.0011917
146,190.438,0.38027,0.27197,1.00619,0.95782,1,0.995,0.98967,0.24678,0.21374,0.854,0.0011884,0.0011884,0.0011884
147,191.734,0.35659,0.25842,1.00375,0.99009,1,0.995,0.97515,0.26833,0.22434,0.86619,0.0011851,0.0011851,0.0011851
148,193.037,0.37265,0.28121,1.02293,0.99512,1,0.995,0.9584,0.29631,0.20603,0.89329,0.0011818,0.0011818,0.0011818
149,194.335,0.37968,0.27588,1.02763,0.99474,1,0.995,0.9854,0.26012,0.20328,0.8798,0.0011785,0.0011785,0.0011785
150,195.627,0.37495,0.26408,1.0107,0.99452,1,0.995,0.9875,0.26369,0.19563,0.88909,0.0011752,0.0011752,0.0011752
151,196.921,0.39115,0.27375,1.03926,0.9952,1,0.995,0.99045,0.24723,0.18616,0.86828,0.0011719,0.0011719,0.0011719
152,198.218,0.37812,0.27699,1.01631,0.98948,1,0.995,0.98896,0.25111,0.20355,0.86825,0.0011686,0.0011686,0.0011686
153,199.518,0.36664,0.26107,1.02394,0.99332,1,0.995,0.98702,0.23975,0.17172,0.86061,0.0011653,0.0011653,0.0011653
154,200.812,0.35997,0.25922,1.00646,0.98892,1,0.995,0.98305,0.24686,0.21274,0.85905,0.001162,0.001162,0.001162
155,202.102,0.36051,0.27043,1.00595,0.99612,1,0.995,0.98828,0.25539,0.18671,0.86077,0.0011587,0.0011587,0.0011587
156,203.405,0.38083,0.27415,1.01022,0.99523,1,0.995,0.9926,0.23212,0.17387,0.84948,0.0011554,0.0011554,0.0011554
157,204.708,0.38508,0.27522,1.03213,0.99429,1,0.995,0.99257,0.22511,0.1683,0.84116,0.0011521,0.0011521,0.0011521
158,206.011,0.38855,0.27507,1.02231,0.99177,1,0.995,0.98305,0.244,0.18628,0.85685,0.0011488,0.0011488,0.0011488
159,207.308,0.37834,0.26086,1.02364,0.95856,1,0.995,0.98696,0.24399,0.20992,0.85393,0.0011455,0.0011455,0.0011455
160,208.602,0.37357,0.27687,1.00938,0.95713,1,0.995,0.99274,0.2326,0.20125,0.84686,0.0011422,0.0011422,0.0011422
161,209.907,0.38184,0.25991,1.03857,0.96746,1,0.995,0.98734,0.26513,0.21762,0.86563,0.00113889,0.00113889,0.00113889
162,211.216,0.3462,0.25046,0.99126,0.98418,1,0.995,0.98865,0.22643,0.20994,0.84575,0.00113559,0.00113559,0.00113559
163,212.508,0.36843,0.25801,0.99512,0.99461,1,0.995,0.97265,0.25723,0.19237,0.86917,0.00113229,0.00113229,0.00113229
164,213.806,0.35627,0.25609,1.01397,0.98638,1,0.995,0.9818,0.24429,0.19253,0.86222,0.00112899,0.00112899,0.00112899
165,215.099,0.36635,0.26312,1.01105,0.99098,1,0.995,0.97591,0.24501,0.18245,0.87176,0.00112569,0.00112569,0.00112569
166,216.406,0.36181,0.25506,1.00752,0.99003,1,0.995,0.98752,0.23172,0.17753,0.85331,0.00112239,0.00112239,0.00112239
167,217.699,0.34705,0.23514,0.99011,0.99552,1,0.995,0.98489,0.22586,0.17116,0.84768,0.00111909,0.00111909,0.00111909
168,218.994,0.35518,0.26623,1.00412,0.99281,1,0.995,0.97155,0.25854,0.19824,0.86877,0.00111579,0.00111579,0.00111579
169,220.282,0.36511,0.25623,1.00658,0.99142,1,0.995,0.99096,0.2264,0.17873,0.84752,0.00111249,0.00111249,0.00111249
